[I] MODUS VERSION :[I] 00 05 00 06 
[I] 
[I] [FOC] AS5600 encoder source ready
[I] [Waveform] FOC App high-rate monitoring started
[I] 
=== Phase C: SVPWM & Open-Loop Test ===
[I] [Test] Motor waiting for PA12 button press to start...

[mshell] ready. Type 'help'.
[T] [Heartbeat] motor: RUNNING, seq: 490517, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 510517, total: 2378, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 530517, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 550516, total: 2378, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 570516, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 590516, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 610516, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 630516, total: 2378, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 650516, total: 2378, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 670516, total: 2378, angle: 0.1000
[T] [Heartbeat] motor: RUNNING, seq: 690516, total: 2362, angle: 0.1000

[I] [FOC] Stop command accepted
> [T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
[T] [Heartbeat] motor: IDLE, seq: 704254, total: 2373, angle: 0.1000
